Program,Code,Title,Sec,Room 1,Room 2,Day 1,Day 2,Time 1,Time 2,Faculty,Initial,Credits
BSCSE,CSE 2102,Object Oriented Programming Laboratory,C,"606 (Digital Logic Design Lab)",N/A,Sat,N/A,12:31:PM - 03:00:PM, - ,Mahfuzur Rahman,MFRh,1
BSCSE,CSE 2102,Object Oriented Programming Laboratory,D,"606 (Digital Logic Design Lab)",N/A,Sun,N/A,12:31:PM - 03:00:PM, - ,Mahfuzur Rahman,MFRh,1
BSCSE,CSE 2102,Object Oriented Programming Laboratory,E,"606 (Digital Logic Design Lab)",N/A,Sat,N/A,03:11:PM - 05:40:PM, - ,Mahfuzur Rahman,MFRh,1
BSCSE,CSE 2102,Object Oriented Programming Laboratory,F,"606 (Digital Logic Design Lab)",N/A,Sun,N/A,03:11:PM - 05:40:PM, - ,Mahfuzur Rahman,MFRh,1
BSCSE,CSE 2201,Data Structure,A,407,407,Sat,Tue,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Dr. Foez Ahmed,FZA,3
BSCSE,CSE 2201,Data Structure,B,407,407,Sun,Wed,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Dr. Foez Ahmed,FZA,3
BSCSE,CSE 2201,Data Structure,C,408,408,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Dr. Foez Ahmed,FZA,3
BSCSE,CSE 2201,Data Structure,D,408,408,Sun,Wed,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Dr. Foez Ahmed,FZA,3
BSCSE,CSE 2201,Data Structure,E,407,407,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Dr. Foez Ahmed,FZA,3
BSCSE,CSE 2201,Data Structure,F,407,407,Sun,Wed,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Dr. Foez Ahmed,FZA,3
BSCSE,CSE 2202,Data Structure Laboratory,A,"607 (Computer Lab)",N/A,Sat,N/A,09:51:AM - 12:20:PM, - ,Dr. Foez Ahmed,FZA,1
BSCSE,CSE 2202,Data Structure Laboratory,B,"607 (Computer Lab)",N/A,Sun,N/A,09:51:AM - 12:20:PM, - ,Dr. Foez Ahmed,FZA,1
BSCSE,CSE 2202,Data Structure Laboratory,C,"607 (Computer Lab)",N/A,Sat,N/A,12:31:PM - 03:00:PM, - ,Dr. Foez Ahmed,FZA,1
BSCSE,CSE 2202,Data Structure Laboratory,D,"607 (Computer Lab)",N/A,Sun,N/A,12:31:PM - 03:00:PM, - ,Dr. Foez Ahmed,FZA,1
BSCSE,CSE 2202,Data Structure Laboratory,E,"607 (Computer Lab)",N/A,Sat,N/A,03:11:PM - 05:40:PM, - ,Dr. Foez Ahmed,FZA,1
BSCSE,CSE 2202,Data Structure Laboratory,F,"607 (Computer Lab)",N/A,Sun,N/A,03:11:PM - 05:40:PM, - ,Dr. Foez Ahmed,FZA,1
BSCSE,CSE 2203,Algorithm,A,405,405,Sat,Tue,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Dr. Md. Shahriar Hossain,MdSHs,3
BSCSE,CSE 2203,Algorithm,B,405,405,Sun,Wed,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Dr. Md. Shahriar Hossain,MdSHs,3
BSCSE,CSE 2203,Algorithm,C,407,407,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Dr. Md. Shahriar Hossain,MdSHs,3
BSCSE,CSE 2203,Algorithm,D,407,407,Sun,Wed,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Dr. Md. Shahriar Hossain,MdSHs,3
BSCSE,CSE 2203,Algorithm,E,408,408,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Dr. Md. Shahriar Hossain,MdSHs,3
BSCSE,CSE 2203,Algorithm,F,408,408,Sun,Wed,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Dr. Md. Shahriar Hossain,MdSHs,3
BSCSE,CSE 2204,Algorithm Laboratory,A,"406 (General Purpose Lab)",N/A,Sat,N/A,09:51:AM - 12:20:PM, - ,Dr. Md. Shahriar Hossain,MdSHs,1
BSCSE,CSE 2204,Algorithm Laboratory,B,"406 (General Purpose Lab)",N/A,Sun,N/A,09:51:AM - 12:20:PM, - ,Dr. Md. Shahriar Hossain,MdSHs,1
BSCSE,CSE 2204,Algorithm Laboratory,C,"406 (General Purpose Lab)",N/A,Sat,N/A,12:31:PM - 03:00:PM, - ,Dr. Md. Shahriar Hossain,MdSHs,1
BSCSE,CSE 2204,Algorithm Laboratory,D,"406 (General Purpose Lab)",N/A,Sun,N/A,12:31:PM - 03:00:PM, - ,Dr. Md. Shahriar Hossain,MdSHs,1
BSCSE,CSE 2204,Algorithm Laboratory,E,"406 (General Purpose Lab)",N/A,Sat,N/A,03:11:PM - 05:40:PM, - ,Dr. Md. Shahriar Hossain,MdSHs,1
BSCSE,CSE 2204,Algorithm Laboratory,F,"406 (General Purpose Lab)",N/A,Sun,N/A,03:11:PM - 05:40:PM, - ,Dr. Md. Shahriar Hossain,MdSHs,1
BSCSE,CSE 2301,Compiler Design,A,601,601,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Saima Hossain,SHn,3
BSCSE,CSE 2301,Compiler Design,B,601,601,Sun,Wed,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Saima Hossain,SHn,3
BSCSE,CSE 2301,Compiler Design,C,602,602,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Saima Hossain,SHn,3
BSCSE,CSE 2301,Compiler Design,D,602,602,Sun,Wed,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Saima Hossain,SHn,3
BSCSE,CSE 2302,Compiler Design Laboratory,A,"406 (General Purpose Lab)",N/A,Sat,N/A,09:51:AM - 12:20:PM, - ,Saima Hossain,SHn,1
BSCSE,CSE 2302,Compiler Design Laboratory,B,"406 (General Purpose Lab)",N/A,Sun,N/A,09:51:AM - 12:20:PM, - ,Saima Hossain,SHn,1
BSCSE,CSE 2302,Compiler Design Laboratory,C,"406 (General Purpose Lab)",N/A,Sat,N/A,12:31:PM - 03:00:PM, - ,Saima Hossain,SHn,1
BSCSE,CSE 2302,Compiler Design Laboratory,D,"406 (General Purpose Lab)",N/A,Sun,N/A,12:31:PM - 03:00:PM, - ,Saima Hossain,SHn,1
BSCSE,CSE 2401,Operating System,A,403,403,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Dr. Md. Abdullah Al-Wadud,MAAW,3
BSCSE,CSE 2401,Operating System,B,403,403,Sun,Wed,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Dr. Md. Abdullah Al-Wadud,MAAW,3
BSCSE,CSE 2401,Operating System,C,404,404,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Dr. Md. Abdullah Al-Wadud,MAAW,3
BSCSE,CSE 2401,Operating System,D,404,404,Sun,Wed,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Dr. Md. Abdullah Al-Wadud,MAAW,3
BSCSE,CSE 2402,Operating System Laboratory,A,"927 (Computer Lab)",N/A,Sat,N/A,09:51:AM - 12:20:PM, - ,Dr. Md. Abdullah Al-Wadud,MAAW,1
BSCSE,CSE 2402,Operating System Laboratory,B,"927 (Computer Lab)",N/A,Sun,N/A,09:51:AM - 12:20:PM, - ,Dr. Md. Abdullah Al-Wadud,MAAW,1
BSCSE,CSE 2402,Operating System Laboratory,C,"927 (Computer Lab)",N/A,Sat,N/A,12:31:PM - 03:00:PM, - ,Dr. Md. Abdullah Al-Wadud,MAAW,1
BSCSE,CSE 2402,Operating System Laboratory,D,"927 (Computer Lab)",N/A,Sun,N/A,12:31:PM - 03:00:PM, - ,Dr. Md. Abdullah Al-Wadud,MAAW,1
BSCSE,CSE 3101,Database Management Systems,A,401,401,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Dr. Mohammed Shafiul Alam,MdSm,3
BSCSE,CSE 3101,Database Management Systems,B,401,401,Sun,Wed,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Dr. Mohammed Shafiul Alam,MdSm,3
BSCSE,CSE 3101,Database Management Systems,C,402,402,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Dr. Mohammed Shafiul Alam,MdSm,3
BSCSE,CSE 3101,Database Management Systems,D,402,402,Sun,Wed,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Dr. Mohammed Shafiul Alam,MdSm,3
BSCSE,CSE 3102,Database Management Systems Laboratory,A,"406 (General Purpose Lab)",N/A,Sat,N/A,12:31:PM - 03:00:PM, - ,Dr. Mohammed Shafiul Alam,MdSm,1
BSCSE,CSE 3102,Database Management Systems Laboratory,B,"406 (General Purpose Lab)",N/A,Sun,N/A,12:31:PM - 03:00:PM, - ,Dr. Mohammed Shafiul Alam,MdSm,1
BSCSE,CSE 3102,Database Management Systems Laboratory,C,"406 (General Purpose Lab)",N/A,Sat,N/A,03:11:PM - 05:40:PM, - ,Dr. Mohammed Shafiul Alam,MdSm,1
BSCSE,CSE 3102,Database Management Systems Laboratory,D,"406 (General Purpose Lab)",N/A,Sun,N/A,03:11:PM - 05:40:PM, - ,Dr. Mohammed Shafiul Alam,MdSm,1
BSCSE,CSE 3201,Artificial Intelligence,A,405,405,Sat,Tue,12:31:PM - 01:50:PM,12:31:PM - 01:50:PM,Dr. Md. Shahriar Hossain,MdSHs,3
BSCSE,CSE 3201,Artificial Intelligence,B,405,405,Sun,Wed,12:31:PM - 01:50:PM,12:31:PM - 01:50:PM,Dr. Md. Shahriar Hossain,MdSHs,3
BSCSE,CSE 3201,Artificial Intelligence,C,407,407,Sat,Tue,01:51:PM - 03:10:PM,01:51:PM - 03:10:PM,Dr. Md. Shahriar Hossain,MdSHs,3
